"","Watershed1","Watershed2","JaccDiss_year1","JaccDiss_year18","JaccDiss_overall","BrayDiss_overall"
"1","1D","1D",0,0,0,0
"2","20B","1D",0.4375,0.807692307692308,0.625,0.49508235398204
"3","4A","1D",0.416666666666667,0.625,0.536585365853658,0.396163064271422
"4","4B","1D",0.466666666666667,0.705882352941176,0.551020408163265,0.375710909406786
"5","N1B","1D",0.642857142857143,0.666666666666667,0.475,0.336498493007842
"6","N20B","1D",0.529411764705882,0.666666666666667,0.6,0.404472273995877
"7","N4B","1D",0.4375,0.761904761904762,0.574074074074074,0.462309197651663
"8","N4D","1D",0.619047619047619,0.766666666666667,0.655172413793103,0.427241111592513
"9","1D","20B",0.4375,0.807692307692308,0.625,0.49508235398204
"10","20B","20B",0,0,0,0
"11","4A","20B",0.588235294117647,0.793103448275862,0.411764705882353,0.219828013691175
"12","4B","20B",0.526315789473684,0.541666666666667,0.357142857142857,0.316385479604697
"13","N1B","20B",0.666666666666667,0.777777777777778,0.481481481481481,0.380057042734909
"14","N20B","20B",0.421052631578947,0.481481481481481,0.384615384615385,0.24921935092243
"15","N4B","20B",0.571428571428572,0.607142857142857,0.444444444444444,0.337696447793326
"16","N4D","20B",0.380952380952381,0.529411764705882,0.428571428571429,0.232075423412991
"17","1D","4A",0.416666666666667,0.625,0.536585365853658,0.396163064271422
"18","20B","4A",0.588235294117647,0.793103448275862,0.411764705882353,0.219828013691175
"19","4A","4A",0,0,0,0
"20","4B","4A",0.533333333333333,0.7,0.404255319148936,0.232958801498127
"21","N1B","4A",0.615384615384615,0.4,0.375,0.311408185024194
"22","N20B","4A",0.588235294117647,0.666666666666667,0.482758620689655,0.197759490428837
"23","N4B","4A",0.5,0.636363636363636,0.5,0.285213483146067
"24","N4D","4A",0.6,0.67741935483871,0.535714285714286,0.22415479907174
"25","1D","4B",0.466666666666667,0.705882352941176,0.551020408163265,0.375710909406786
"26","20B","4B",0.526315789473684,0.541666666666667,0.357142857142857,0.316385479604697
"27","4A","4B",0.533333333333333,0.7,0.404255319148936,0.232958801498127
"28","4B","4B",0,0,0,0
"29","N1B","4B",0.533333333333333,0.666666666666667,0.48,0.275235667388035
"30","N20B","4B",0.352941176470588,0.476190476190476,0.377049180327869,0.24905000722144
"31","N4B","4B",0.444444444444444,0.571428571428572,0.413793103448276,0.370851399856425
"32","N4D","4B",0.545454545454545,0.586206896551724,0.475409836065574,0.288606230757552
"33","1D","N1B",0.642857142857143,0.666666666666667,0.475,0.336498493007842
"34","20B","N1B",0.666666666666667,0.777777777777778,0.481481481481481,0.380057042734909
"35","4A","N1B",0.615384615384615,0.4,0.375,0.311408185024194
"36","4B","N1B",0.533333333333333,0.666666666666667,0.48,0.275235667388035
"37","N1B","N1B",0,0,0,0
"38","N20B","N1B",0.5,0.636363636363636,0.46551724137931,0.272984743151056
"39","N4B","N1B",0.5,0.6,0.481481481481481,0.278258602711158
"40","N4D","N1B",0.666666666666667,0.607142857142857,0.490909090909091,0.261233609179944
"41","1D","N20B",0.529411764705882,0.666666666666667,0.6,0.404472273995877
"42","20B","N20B",0.421052631578947,0.481481481481481,0.384615384615385,0.24921935092243
"43","4A","N20B",0.588235294117647,0.666666666666667,0.482758620689655,0.197759490428837
"44","4B","N20B",0.352941176470588,0.476190476190476,0.377049180327869,0.24905000722144
"45","N1B","N20B",0.5,0.636363636363636,0.46551724137931,0.272984743151056
"46","N20B","N20B",0,0,0,0
"47","N4B","N20B",0.421052631578947,0.363636363636364,0.455882352941176,0.232507433102082
"48","N4D","N20B",0.380952380952381,0.379310344827586,0.290322580645161,0.159845197089493
"49","1D","N4B",0.4375,0.761904761904762,0.574074074074074,0.462309197651663
"50","20B","N4B",0.571428571428572,0.607142857142857,0.444444444444444,0.337696447793326
"51","4A","N4B",0.5,0.636363636363636,0.5,0.285213483146067
"52","4B","N4B",0.444444444444444,0.571428571428572,0.413793103448276,0.370851399856425
"53","N1B","N4B",0.5,0.6,0.481481481481481,0.278258602711158
"54","N20B","N4B",0.421052631578947,0.363636363636364,0.455882352941176,0.232507433102082
"55","N4B","N4B",0,0,0,0
"56","N4D","N4B",0.521739130434783,0.548387096774194,0.428571428571429,0.195218849501168
"57","1D","N4D",0.619047619047619,0.766666666666667,0.655172413793103,0.427241111592513
"58","20B","N4D",0.380952380952381,0.529411764705882,0.428571428571429,0.232075423412991
"59","4A","N4D",0.6,0.67741935483871,0.535714285714286,0.22415479907174
"60","4B","N4D",0.545454545454545,0.586206896551724,0.475409836065574,0.288606230757552
"61","N1B","N4D",0.666666666666667,0.607142857142857,0.490909090909091,0.261233609179944
"62","N20B","N4D",0.380952380952381,0.379310344827586,0.290322580645161,0.159845197089493
"63","N4B","N4D",0.521739130434783,0.548387096774194,0.428571428571429,0.195218849501168
"64","N4D","N4D",0,0,0,0
